,linguistic_feature,mean,std
0,abusive_words_n,1.1012688591507402,0.3372248658142582
1,abusive_words_ratio,0.14280126721430797,0.08034876872190984
2,polar_words_n,1.2199502508855897,0.4950169415696206
3,polar_words_ratio,0.15560726432066235,0.08396597986535974
4,virtue_n,1.240938396378046,0.5094274402677574
5,virtue_ratio,0.15791519198909207,0.08637777053994862
6,vice_n,1.142862268354346,0.39377497962374514
7,vice_ratio,0.14567050529842016,0.07618065662643501
8,positive_words_n,1.8001077059250992,0.9770719315468488
9,positive_words_ratio,0.23250130786592427,0.13383045545519698
10,negative_words_n,1.7035677386687664,0.9232910205592366
11,negative_words_ratio,0.2188780056653556,0.1279554657669505
